userid,productid,rating
58200,ggf117040,5
43106,bth153468,4
94854,wcl038277,4
60287,tvc222119,4
94475,mcl171838,5
94776,msh044396,5
33191,acs031777,3
90470,str225107,3
41509,wcl086033,4
20349,mcl062776,3
39890,tvc018082,4
99642,tvc201583,5
87886,msc011148,5
20213,tvc188554,3
48490,wcl070702,4
76721,acs128095,4
53894,tvc177951,3
14343,acs215971,5
50525,str052075,3
60422,acs220099,5
32096,tvc262008,4
13379,msh220608,4
87793,str250367,4
69889,wcl051146,3
26028,hkt256342,4
90202,wcl094647,4
62899,wcl142126,4
60718,wcl164263,3
36021,wcl042907,3
56995,msh022132,4
93374,acs075804,3
50409,acs206248,5
88661,msc087822,4
25172,msh064665,5
61157,mcl130381,3
93719,ind203433,3
67285,app150368,4
61742,app066564,5
59082,acs188171,3
98902,ind125218,5
48042,acs263028,3
51676,wcl164263,3
20509,acs044819,5
22823,mcl105500,4
12757,str201317,4
76715,tvc004387,5
85846,msh173397,5
19983,acs219358,5
55167,acs064190,3
29477,msh025521,5
47937,acs003512,3
71791,wcl157860,4
63630,wcl183901,3
62973,hkt209285,3
47042,acs252879,4
18596,wcl229488,4
21569,msh075408,3
90350,mcl130718,5
57423,msh222099,3
75221,tvc101343,3
41066,pet204931,4
34963,msh102419,5
81977,app260659,5
89766,str183252,3
75946,tbp023294,3
95299,msh264667,5
88297,spf068914,5
31554,acs110844,5
96316,acs175171,3
69123,str023758,5
28677,kfa002297,4
40601,wcl168090,5
59626,msh243045,5
68119,wcl012475,4
83474,msh179395,4
56449,wcl208740,4
69459,wcl165002,3
49801,mcl228708,5
88393,msh213481,3
38669,wcl039730,3
23688,tvc008722,4
68965,wcl113371,4
14842,mcl004336,5
31550,msh156796,4
12815,hkt176774,3
78135,bth015918,4
36360,wsh180875,4
14927,str132393,5
52422,acs177168,3
97531,mcl093828,3
33933,msh135992,3
73068,wcl247533,5
36101,str142461,4
27295,tvc090410,5
30469,mcl078909,5
21281,msh190311,4
70117,wcl194661,5
46827,tvc125303,5
60979,app159758,4
53527,acs107989,4
96927,msh085259,3
49635,mcl099960,5
98033,bth049868,3
60342,msh102419,3
69121,acs180843,3
34705,acs124383,3
83003,wcl031247,4
63031,acs082637,5
43571,acs023744,5
57119,tvc080324,4
62585,str028323,4
85062,wcl153876,3
75141,app206285,3
41759,acs011501,4
95920,acs113376,5
29253,app242831,3
81177,tvc066258,5
82807,wsh101905,3
90306,kfa131035,4
98951,str035967,5
72945,cmb172781,3
26507,spf096329,4
26104,ind085523,5
68131,tvc033031,4
55258,msh229620,4
26326,msc074837,3
18861,mcl064915,4
55994,mcl034058,3
63413,acs116798,3
49801,mcl264640,5
46732,acs254155,5
55834,tvc113293,4
43666,str223000,5
30846,msh236761,5
37091,hkt007169,4
55067,tvc256689,3
65169,wcl170963,4
90832,kfa122323,5
30837,acs079006,3
90601,acs085785,4
98570,wcl163847,5
35466,mcl016885,5
76072,wcl255681,5
42225,wcl128415,5
59007,acs254769,3
96511,hkt090470,3
82034,wcl254696,3
65458,acs116432,4
28127,acs152119,4
50685,str034016,4
19539,wcl157125,4
66173,spf231401,4
64560,tvc122092,3
93046,tvc100854,4
17229,acs063954,5
32060,acs161257,3
44125,acs246656,5
45488,mcl064908,5
28087,msh209322,5
62499,kfa184514,3
14255,acs023774,5
24417,tvc100479,3
90100,wcl141828,3
62178,acs209899,3
19953,msh145517,4
33869,acs124885,4
44125,tvc146606,5
93350,acs205295,3
64865,hkt263616,4
43812,wcl128742,5
11217,wcl181237,3
83412,msh224247,5
16836,msh059756,5
51204,ind194593,5
83259,kfa156759,5
26611,bth116516,4
23445,acs038530,5
98902,kfa151070,5
51732,wcl027168,4
84783,bth049128,5
78054,acs205790,4
51555,tvc170404,5
96186,wcl177215,5
96511,str064694,5
75741,acs206135,4
37578,wcl263243,4
44125,msh218546,3
88297,wcl121514,4
49373,acs151257,4
12684,tvc039398,5
56636,tvc246581,3
18083,acs078479,5
43390,msh158123,5
43666,str253938,3
77711,bag136283,5
60421,mcl207976,4
84804,tvc009076,5
55994,acs225619,4
14769,mcl245154,5
62685,tvc235896,4
62899,wcl155832,3
20582,tvc248499,3
73154,tvc106688,4
40352,mcl063353,4
30535,app224011,4
16868,msh151673,4
97136,msh033042,3
47966,kfa078685,4
91224,acs106775,3
77136,acs062861,5
98968,wcl261553,5
96296,acs135112,5
59179,wcl093496,4
61300,hkt250992,3
74187,hkt068184,5
78621,tvc169515,5
72271,tvc014056,3
72550,tvc256624,3
12067,bag142601,4
49508,msh035914,3
50056,msh187987,5
10588,wcl069790,3
87658,tvc198841,4
33877,wcl075571,4
20793,tvc009021,3
28495,tvc077437,4
68018,acs247683,4
33523,str005492,4
32020,tvc121051,3
31661,bth111730,5
30128,msh060051,5
26949,mcl051192,4
85810,msh244832,3
69982,bth245131,4
84093,msh157103,4
96570,mcl037680,5
37137,str150104,4
53527,acs062974,4
61628,wsh103148,4
21569,acs260876,4
61384,tvc082407,4
69932,bth022041,5
36190,wcl168167,5
18131,acs252483,3
78426,tvc195166,4
60097,acs236123,4
17361,tbp072245,5
34313,wcl197861,4
70602,mcl156894,5
31392,acs180457,4
72563,wcl142692,5
16321,acs155572,4
13692,tvc055724,4
78135,mcl012428,3
59426,wcl012663,5
31661,wcl187944,5
14453,wcl059319,5
30911,tvc211351,3
69149,msh244372,3
73686,msh079604,5
22942,mcl013279,5
26507,wcl003622,4
43131,wcl033131,4
67110,wcl043548,3
35160,acs134205,5
70799,msh004736,4
57332,wcl240891,3
22295,tvc178154,4
77335,app027743,4
70547,acs128630,5
38023,tvc032376,4
69480,wsh132864,3
40818,wcl189133,3
60936,wcl047395,3
49380,mcl197609,3
26028,tvc191977,3
80817,acs132855,5
72175,wcl077533,4
80941,acs008385,3
46048,wcl118900,5
88920,acs190511,4
55240,spf074806,3
88982,acs016164,5
25175,tbp080233,4
68658,acs171239,4
13631,tvc114132,3
52238,kfa188609,5
85367,wcl114968,3
72459,kfa007226,5
76466,msh112969,4
80650,wcl082835,5
17033,tvc163024,3
67919,wcl005812,3
20147,acs238899,4
83035,str019901,4
89474,wcl043949,5
68456,wcl108695,5
32907,wcl138984,4
67685,wcl131390,5
72524,msh176302,3
17374,mcl176863,5
90603,msh222291,3
75015,tvc257042,3
85131,tvc026510,4
53732,msh056525,4
36579,acs184769,5
25779,acs161149,5
78054,wsh027812,3
57228,spf246706,3
25773,tvc185794,3
66162,msh208147,5
60555,mcl088646,4
95543,acs063698,3
34313,acs162666,3
14166,ind152622,5
82309,cmb025123,4
14337,kfa034649,4
93532,msh105572,3
60053,wcl260147,3
48585,acs184626,3
65576,wcl044206,3
27654,kfa211900,5
80817,wcl150179,3
39802,ind243598,5
82148,acs167910,5
62981,acs166291,3
15813,tvc150115,4
17278,tvc254105,5
25523,tvc226926,4
32951,app167006,5
50409,str085517,5
99119,wcl215427,4
20496,wcl168310,4
37122,acs017918,5
36101,wcl209795,3
24700,acs260237,3
17686,str056457,4
59563,mcl252762,3
44774,mcl256305,5
59494,hkt084885,3
41276,msh170043,5
72316,str245180,4
48027,tvc257849,4
92055,app246869,4
42967,hkt163969,3
78621,str046348,4
88275,app050657,3
87658,acs210725,5
88365,msh250598,3
14255,tvc262640,3
65845,str081946,3
57182,mcl221918,3
46242,acs096052,4
47129,str075369,5
75157,wcl095936,3
79907,msh075160,3
58766,acs088927,5
34313,tvc066473,4
80941,mcl038773,3
53428,acs140479,4
89076,app245275,3
23836,hkt097622,3
66162,tbp244103,3
70199,acs004511,5
80015,acs092459,5
82329,wcl112634,4
89719,app184958,4
39993,msh010903,4
80533,wcl081230,5
77035,wcl262569,5
88920,bag230211,5
98540,app037514,5
61834,cmb051137,4
76021,acs059008,3
16119,cmb073440,4
44176,kfa056933,4
60635,msh010021,5
47308,msh152101,3
97697,acs168576,3
18740,mcl085534,4
72271,wcl232941,4
73597,tvc006187,3
15325,str160488,4
33869,acs222636,5
56376,str207158,5
25523,msh226137,3
17474,bag097076,5
90709,tvc200812,3
74361,tvc177951,5
76493,wcl078957,4
27744,wcl236250,3
51261,mcl230771,5
94630,wcl242158,3
72459,mcl143812,4
78426,acs132613,5
33003,kfa112033,3
88393,spf074806,3
16683,ind066652,4
35095,tvc184726,3
48027,wcl150413,3
60843,hkt191876,4
38963,acs205209,3
79406,acs074740,4
77001,mcl066792,5
48980,acs062011,4
66995,wcl004645,4
54164,wcl139610,4
71227,acs120062,5
67585,tvc049084,3
77712,acs007360,5
38489,mcl062545,3
54440,bag077567,4
47985,tbp042376,5
99043,mcl235204,3
32713,wcl021359,3
53066,acs088881,3
96187,wcl065183,4
73564,tvc147088,4
60884,msh162260,3
93350,wcl187667,4
35323,app019146,3
76795,acs119995,4
17169,tvc179559,4
18213,acs243299,3
97416,acs103125,5
96570,msh116778,5
86598,wcl130575,4
61995,acs244127,3
12342,wcl218882,4
67720,str031332,5
94475,wcl174950,4
98439,acs107029,4
70980,acs048001,5
88661,acs131298,3
74661,wcl225525,5
26326,wcl176837,5
32369,acs175847,5
80760,app258537,4
40311,mcl120314,5
15980,tvc033031,3
72968,wcl251159,3
60048,acs084819,4
13447,acs028855,3
13631,tvc118688,4
94653,acs089205,4
59563,tvc209741,4
77162,msh027855,5
41066,tvc067168,4
80015,acs200522,5
29667,acs153608,5
50409,wcl173990,5
60650,wcl122862,4
75858,wcl084511,4
11778,hkt019357,3
61621,wcl133563,4
61143,spf073553,3
70976,bth020690,5
50241,spf036766,3
69326,spf056625,3
61466,str186924,3
68859,str015426,4
16065,mcl053851,4
23371,str232612,5
51068,tvc004525,4
89981,kfa095630,3
34486,tvc076878,3
62856,tvc042212,5
75108,tvc161140,5
39890,acs223353,3
87667,msh092783,5
14962,msh227309,4
67585,bth189318,4
37578,bth154660,5
30288,wcl235481,4
39717,hkt043562,4
89151,hkt184004,5
42635,mcl120113,4
68212,acs048509,5
48047,tvc179216,3
30678,acs157217,4
19207,tvc108678,4
13379,app225692,3
57739,acs068814,4
31846,tvc212976,5
36570,acs143679,5
61887,wcl073501,5
35095,wcl065195,3
33901,msh189923,4
74187,acs055504,4
90470,str115645,5
86598,str075655,5
66057,str053461,4
20262,msh122243,5
80514,mcl125162,5
26104,msh079123,3
21016,hkt264184,5
62899,tvc193991,4
10059,acs089755,5
35177,hkt050633,5
95959,acs151778,3
38489,tvc170404,5
89651,app084929,3
78054,cmb027719,4
73638,acs181591,5
62876,tvc104201,3
50120,acs089124,5
33569,msh103693,5
88619,msh248264,3
83935,ggf033855,4
88275,tvc255890,5
87847,ind247349,5
95522,acs124825,5
64930,str263626,4
16363,mcl067401,5
54586,app051680,5
44798,acs024731,3
69480,str223719,5
47042,acs000171,3
43841,msh037014,5
70980,hkt032314,5
69537,app247964,3
88090,tbp068686,4
44622,tvc075666,5
80153,wcl151160,5
15722,mcl129723,3
25870,acs239464,5
77001,wcl231628,3
63436,wcl257456,4
87672,wcl142349,3
55065,wcl091398,4
26992,acs053737,5
31661,str061131,3
98968,msh203858,5
32170,tvc085422,5
57423,tvc169483,5
68965,mcl220587,3
50103,str125450,3
76655,acs106336,3
30467,spf157292,5
66995,mcl024242,5
82850,msh234971,3
65632,str058971,4
32388,mcl126764,5
69149,wcl248531,3
61438,app055545,3
35380,app174567,4
54238,tvc033292,5
45308,acs108707,4
66612,wsh167314,3
40307,tvc077651,4
83113,tvc150541,4
62499,msh228654,3
66809,acs009674,4
70006,wcl008424,4
81732,acs062861,5
93408,acs069997,3
84698,mcl233485,5
67285,wcl258958,4
59173,acs244284,5
31781,acs088127,3
85806,acs201791,5
16325,acs103870,3
61886,cmb061654,3
95654,bag093453,3
35095,wcl124864,4
46732,app209371,5
17701,mcl158310,3
27113,bag016931,5
60655,acs050175,4
93444,acs019448,4
32903,mcl002495,5
89733,ind056527,3
84093,str046566,3
87583,msh205725,4
89100,acs023443,4
61466,kfa030706,4
94827,acs156299,4
53428,acs069694,4
89186,acs064952,3
85810,wcl042227,3
49808,mcl068143,5
26971,mcl027050,3
56636,str055625,5
35796,tvc252180,4
34078,wcl138649,4
62685,wcl261254,4
84907,tvc070338,5
59384,wcl121986,3
86791,wcl007924,5
23018,tbp012955,5
25585,wcl181056,3
43071,tvc195460,4
42415,str050681,5
19665,msh086012,5
84654,mcl258005,3
60449,pet120883,3
28989,str078018,3
57668,wcl232225,4
20972,wcl206619,5
99525,tvc025858,4
61146,tvc111565,4
40258,tvc264980,4
51019,str060895,5
79399,bth251660,4
57739,hkt134014,5
68888,wcl019496,5
95299,acs090912,3
56789,wcl027946,3
43618,acs109511,3
84745,wcl264137,4
35318,tvc236784,4
99405,acs123756,4
34746,mcl160294,3
75387,str191855,5
75255,app170899,3
60904,wcl112610,4
44754,hkt214784,4
43968,acs048998,3
23416,tvc094704,5
46127,tvc096355,4
86619,str085961,5
75142,app057463,3
10290,acs108157,4
88002,app033956,3
80677,wcl155541,4
63630,mcl202491,5
76587,mcl091150,3
38358,acs070295,4
44068,kfa184257,5
10300,msh033025,4
82850,str078986,4
51473,str047859,4
94684,str114571,3
43348,wsh245380,3
82120,wcl063350,5
99930,msh226590,5
16508,mcl198992,3
93350,acs112408,3
32713,msh070571,5
44622,tbp039545,5
39917,acs209685,3
88016,wcl216066,4
10137,wcl257092,4
81732,tvc018817,3
43666,str077652,4
92661,mcl077986,4
24409,str253938,4
49189,str249511,4
75221,tbp212137,3
41019,wcl053262,4
54982,app102828,3
27295,app011766,4
56789,wcl140868,3
76002,tvc034709,3
41759,wcl140435,3
84201,tvc150261,5
95522,bth104523,3
18233,app235619,5
84201,mcl159960,3
74060,mcl165257,3
26611,acs125471,4
88049,kfa071499,3
72316,tvc135058,5
53309,kfa193957,4
47080,wcl094462,3
69189,acs226371,3
15980,tvc001004,3
28578,acs005125,3
50790,mcl223491,4
61995,tbp194015,4
47280,tvc261137,5
77335,acs134623,3
46048,tvc156349,3
33569,acs133646,5
45085,bth127165,4
61386,str005885,3
88900,str091108,5
33514,kfa056973,5
41205,str140858,3
43367,wcl031203,5
62313,acs023384,5
97360,msh081602,4
59263,app229343,3
59175,app139715,4
59444,str043976,4
88554,hkt050196,5
46675,hkt248339,3
77768,tvc252253,4
88554,wcl042549,4
15043,tvc192580,5
32903,msh042502,4
94854,wcl059090,4
19665,ind219924,5
47308,app060846,4
60097,app010905,5
98632,app173751,3
59658,acs143873,5
59626,wcl185114,5
89623,app220415,4
80203,mcl072302,4
12067,wcl130574,3
37341,hkt195820,3
34475,bth159127,5
19953,tvc137438,4
51335,wcl248186,3
86202,acs170767,3
74271,msh035411,5
64625,str201957,3
99790,acs179850,4
21692,bth153710,5
41846,tbp244641,4
36424,wcl062748,4
31956,acs128692,3
17229,msc230041,5
61146,spf235389,3
86792,msh166226,5
24303,acs228975,4
60494,ind227021,3
28087,wcl256013,5
10572,wcl003320,3
20401,str010625,4
98968,wcl014962,4
11937,acs025506,4
46163,tvc048026,3
42500,msh182583,4
93267,str171527,4
49382,wcl177064,3
45478,app035024,5
40487,tvc018574,5
69324,str159587,5
86792,acs154078,5
81446,msh213016,5
79332,msh074704,4
82830,tvc191342,4
29477,wcl207417,3
15535,wcl114569,5
91564,acs184036,5
44827,wcl137827,3
32130,acs049947,3
46127,msc126401,3
13618,tvc028507,5
91685,msh260386,4
44840,wcl134298,4
11045,acs053322,4
72271,wcl186667,3
92463,msh196263,5
98549,msh256838,4
47107,acs252815,4
43080,app171419,5
55883,hkt264415,4
95426,msh052107,3
28087,wcl084181,4
90306,acs252140,4
48626,tvc015674,5
45217,wcl138699,3
28859,wcl183569,3
65749,wcl224032,3
21281,bth187655,5
89473,acs168558,5
24901,acs232820,4
89191,acs129224,4
50843,msh115597,4
76548,wcl050858,3
25501,tvc176841,4
43121,msh253469,5
54586,spf191966,3
49265,acs250671,5
72683,kfa184850,4
53527,str083288,4
18740,app081769,5
26992,bth226859,5
80887,mcl223406,5
26713,tvc224735,5
63086,wcl150128,3
29276,hkt245285,3
62081,msh093213,3
42551,app197279,3
90470,app034390,5
50214,acs181478,5
25117,wcl244964,3
70663,msh027859,5
27138,cmb035679,3
43376,kfa077080,5
64817,mcl038089,3
96548,msc233819,5
90947,cmb222127,5
49693,mcl227674,5
70024,acs083898,3
83658,acs258855,5
10059,wcl155770,4
84271,acs189849,5
43807,tvc224077,4
43376,kfa138357,4
39716,msh134580,3
16119,str033267,5
71300,hkt226705,3
83367,wcl039952,3
85104,msh028053,4
95599,msh166121,4
24878,wcl083587,3
48153,str251038,4
76598,msh154360,5
62585,acs063993,3
83412,tvc150279,4
72028,spf152363,3
43348,wcl111233,5
45200,wcl010774,3
43032,str188025,3
10199,tvc239947,4
38698,wcl066086,3
53732,msh142368,4
86959,wcl032518,4
16868,mcl198488,5
89790,msh225391,4
94703,wcl113060,3
82120,tvc015907,5
62499,tvc250474,4
36129,wcl137740,4
57634,ind188365,4
17171,acs183379,5
41093,spf178480,3
83184,acs177823,4
59373,tvc044987,5
56376,msh088137,4
45751,tvc205610,5
29477,str150104,4
47985,str012882,5
34078,hkt265892,3
58425,mcl061196,3
74166,tvc249111,4
44827,msh000501,3
12790,spf059205,3
16705,hkt091327,4
13643,acs044379,3
33869,wcl001880,3
22512,ind017056,3
82852,spf232510,3
99405,app237620,4
33003,acs167962,3
40311,acs035079,3
53277,mcl010085,3
63658,acs061571,4
75768,wsh062670,5
60182,hkt248151,4
87317,acs239553,3
95103,acs045917,3
74629,str059773,3
36369,acs072160,3
10048,tvc059580,4
80015,acs157395,4
12397,msh228656,5
32922,wcl231689,5
27295,kfa254506,4
89484,acs108691,3
67736,acs049359,4
29513,mcl186566,3
66954,kfa037235,5
35715,acs136626,3
36369,acs130707,3
16526,wcl244202,3
39969,mcl068520,3
34310,spf107953,4
11375,acs003782,4
68965,spf051534,5
61146,mcl055546,3
47042,tvc160414,4
